
x		y		z		Real x		Real y		hex
33		1		33		0		0		0xff0000
34		1		31		0		0		0xff0000
35		1		47		0		0		0x802020
36		1		47		0		0		0x802020
37		1		49		0		0		0x802020
38		1		50		0		0		0x802020
39		1		56		0		0		0x802020
40		1		55		0		0		0x802020
41		1		49		0		0		0x802020
42		1		51		0		0		0x802020
43		1		56		0		0		0x802020
44		1		59		0		0		0x802020
45		1		47		0		0		0x802020
46		1		49		0		0		0x802020
47		1		46		0		0		0x802020
48		1		52		0		0		0x802020
49		1		53		0		0		0x802020
50		1		54		0		0		0x802020
51		1		51		0		0		0x802020
52		1		57		0		0		0x802020
53		1		54		0		0		0x802020
54		1		49		0		0		0x802020
55		1		49		0		0		0x802020
56		1		47		0		0		0x802020
57		1		50		0		0		0x802020
58		1		49		0		0		0x802020
59		1		42		0		0		0x802020
60		1		49		0		0		0x802020
61		1		53		0		0		0x802020
62		1		49		0		0		0x802020
63		1		66		0		0		0x802020
64		1		68		0		0		0x802020
65		1		77		0		0		0xffffff
66		1		67		0		0		0x802020
67		1		46		0		0		0x802020
68		1		78		0		0		0xffffff
69		1		56		0		0		0x802020
70		1		71		0		0		0xffffff
71		1		58		0		0		0x802020
72		1		67		0		0		0x802020
73		1		56		0		0		0x802020
74		1		49		0		0		0x802020
75		1		70		0		0		0xffffff
76		1		86		0		0		0xffffff
77		1		87		0		0		0xffffff
78		1		103		0		0		0xffffff
79		1		96		0		0		0xffffff
80		1		86		0		0		0xffffff
81		1		68		0		0		0x802020
82		1		80		0		0		0xffffff
83		1		60		0		0		0x802020
84		1		78		0		0		0xffffff
85		1		103		0		0		0xffffff
86		1		85		0		0		0xffffff
87		1		87		0		0		0xffffff
88		1		90		0		0		0xffffff
89		1		97		0		0		0xffffff
90		1		101		0		0		0xffffff
91		1		85		0		0		0xffffff
92		1		97		0		0		0xffffff
93		1		91		0		0		0xffffff
94		1		85		0		0		0xffffff
95		1		103		0		0		0xffffff
96		1		125		0		0		0xffffff
97		1		134		0		0		0xffffff
98		1		104		0		0		0xffffff
99		1		82		0		0		0xffffff
100		1		60		0		0		0x802020
101		1		58		0		0		0x802020
102		1		57		0		0		0x802020
103		1		87		0		0		0xffffff
104		1		110		0		0		0xffffff
105		1		132		0		0		0xffffff
106		1		115		0		0		0xffffff
107		1		109		0		0		0xffffff
108		1		95		0		0		0xffffff
109		1		118		0		0		0xffffff
110		1		134		0		0		0xffffff
111		1		108		0		0		0xffffff
112		1		115		0		0		0xffffff
113		1		86		0		0		0xffffff
114		1		91		0		0		0xffffff
115		1		96		0		0		0xffffff
116		1		94		0		0		0xffffff
117		1		101		0		0		0xffffff
118		1		122		0		0		0xffffff
119		1		108		0		0		0xffffff
120		1		82		0		0		0xffffff
121		1		62		0		0		0x802020
122		1		71		0		0		0xffffff
123		1		95		0		0		0xffffff
124		1		103		0		0		0xffffff
125		1		113		0		0		0xffffff
126		1		121		0		0		0xffffff
127		1		108		0		0		0xffffff
128		1		122		0		0		0xffffff
129		1		111		0		0		0xffffff
130		1		113		0		0		0xffffff
131		1		125		0		0		0xffffff
132		1		116		0		0		0xffffff
133		1		122		0		0		0xffffff
134		1		147		0		0		0xffffff
135		1		139		0		0		0xffffff
136		1		121		0		0		0xffffff
137		1		119		0		0		0xffffff
138		1		162		0		0		0xffffff
139		1		184		0		0		0xffffff
140		1		169		0		0		0xffffff
141		1		164		0		0		0xffffff
142		1		151		0		0		0xffffff
143		1		132		0		0		0xffffff
144		1		156		0		0		0xffffff
145		1		137		0		0		0xffffff
146		1		149		0		0		0xffffff
147		1		134		0		0		0xffffff
148		1		155		0		0		0xffffff
149		1		174		0		0		0xffffff
150		1		177		0		0		0xffffff
151		1		137		0		0		0xffffff
152		1		141		0		0		0xffffff
153		1		152		0		0		0xffffff
154		1		168		0		0		0xffffff
155		1		139		0		0		0xffffff
156		1		148		0		0		0xffffff
157		1		107		0		0		0xffffff
158		1		112		0		0		0xffffff
159		1		137		0		0		0xffffff
